arm,phase,dist,ops,wall_s,tps,get_rps,set_rps,notes
tiered-warm,boot-fresh,-,-,0.11,-,-,-,-
tiered-warm,populate,sequential,13107200,574.95,22799.29,-,22799.29,dbsize=12923229
tiered-warm,mixed-full,uniform,2000000,65.89,30354,18314.01,15179.11,-
tiered-warm,crash-boot,-,-,6.92,-,-,-,tailmark_survivors=200/200;du=78G;dbsize=341677
tiered-warm,postboot,zipfian,1000000,24.95,40080,23762.00,20368.26,misses_delta=0
tiered-warm,postboot,gaussian,1000000,26.31,38008,23488.51,19010.68,misses_delta=0
tiered-warm,postboot,uniform,1000000,28.81,34710,21463.83,17357.49,misses_delta=0
